ようと思っています,今年のクリスマスは国に帰ろうと思っています。
～ので,秋に友達が日本に来るので、一緒に京都に行くつもりです。
～ことにしました,来月引っ越しすることにしました。
～時,私が初めて日本に来た時、家族はとても心配しました。
～の覚えています,初めて仕事の面接を受けた時、とても緊張したのをおぼえています。
～か／かどうか,今の仕事を続けるかどうか悩んでいます。
～てあげる／～てもらう,道に迷うった時、近くにいた人に道を教えてもらいました。
～たら,事故があったら、すぐ警察に連絡してください。
～ことができます,コンビニでは、お金をおろしたり、振り込んだりすることができます。
Passive (＊～あれる（I）／～られる　（II）／～される）,村上春樹の本は色々な言葉に翻訳されています。
～ようです／～ような,その町は、東京の新宿のような町です。
～方,この機械の使い方がよく分かりません。
Interrogative + ～たらいいですか,明日は、何時にどこに行ったらいいですか。
ってなんですか／～のことです,「コピペ」って何ですか。－「Copy and Paste」のことです。
どうしたんですか　／　～んです,どうしたんですか。－さいふがないんです。
Interrogative + ～んですか,どうでなくしたんですか。
～verb と～,このボタンを押すと、電源が入ります。
～やすい／にくい,私のかばんは、ちょっと使いにくいです。
～adj て (reason) ,このパソコンは軽くてべんりです。
～そうだ (seem / look),あ、コップが落ちそうですよう
～そうですね (seem / look),そのコート、あたたかそうですね。
ましょうか,荷物を持ちましょうか。
～てみませんか,駅前のレストランにきってみませんか。
～なければならない,明日、早く起きなければならないんです。
noun qualitifcation ,子供の時にはやっていた遊びは何ですか。
V ようになりました,日本に来てから、テレビを見るようになりました。
V なくなりました,最近、肉を食べなくなりました。
～ていました (habit),子供の時、夏は毎日海で泳いでいました。
